gtdb_species_clade_id,env_broad_scale,n_genomes_in_env
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,biofilm,1
s__Flavobacterium_psychrophilum--RS_GCF_002217405.1,fresh water,1
s__Citrobacter_braakii--RS_GCF_002075345.1,human-associated habitat,1
s__Bifidobacterium_globosum--RS_GCF_000741295.1,,14
s__Staphylococcus_xylosus--RS_GCF_002732165.1,,4
s__Aeromonas_dhakensis--RS_GCF_000820305.1,,2
s__Latilactobacillus_sakei--RS_GCF_002370355.1,,6
s__Streptococcus_salivarius--RS_GCF_000785515.1,Homo sapiens,7
s__Priestia_megaterium--RS_GCF_000832985.1,area of developed space,1
s__Alistipes_onderdonkii--GB_GCA_025145285.1,biome,1
s__Enterobacter_bugandensis--RS_GCF_900324475.1,,7
s__Bacteroides_uniformis--GB_GCA_025147485.1,feces,3
s__Aliarcobacter_butzleri--RS_GCF_900187115.1,hospital,2
s__Vibrio_anguillarum--RS_GCF_001989995.2,water column,1
s__Klebsiella_michiganensis--RS_GCF_002925905.1,freshwater biome,4
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,paddy field,1
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,urine,5
s__Bacillus_subtilis--RS_GCF_000009045.1,beach,1
s__Lactococcus_lactis--RS_GCF_900099625.1,animal-associated environment,1
s__Bacteroides_uniformis--GB_GCA_025147485.1,Homo sapiens,5
s__Bacillus_A_bombysepticus--RS_GCF_006384875.1,apiary,1
s__Bacillus_safensis--RS_GCF_000691165.1,marsh,1
s__Klebsiella_michiganensis--RS_GCF_002925905.1,human-associated habitat,1
s__Citrobacter_braakii--RS_GCF_002075345.1,terrestrial biome,1
s__Bacillus_subtilis--RS_GCF_000009045.1,wastewater treatment plant,1
s__Bacillus_licheniformis--RS_GCF_000011645.1,,90
s__Bacillus_A_cereus--RS_GCF_000007825.1,,21
s__Acinetobacter_nosocomialis--RS_GCF_000368085.1,,61
s__Bacillus_A_toyonensis--RS_GCF_000496285.1,,6
s__Campylobacter_D_coli--RS_GCF_000254135.1,,3
s__Bacteroides_uniformis--GB_GCA_025147485.1,biome,87
s__Parabacteroides_distasonis--RS_GCF_000012845.1,human-associated habitat,21
s__Bacteroides_fragilis--RS_GCF_000025985.1,forest biome,1
s__Faecalibacillus_intestinalis--RS_GCF_003024685.1,biome,1
s__Lactococcus_cremoris--RS_GCF_001591705.1,agricultural ecosystem,3
s__Lactococcus_cremoris--RS_GCF_001591705.1,bioreactor,1
s__Agathobacter_rectalis--GB_GCA_000020605.1,terrestrial biome,4
s__Streptococcus_salivarius--RS_GCF_000785515.1,city,1
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,food material,1
s__Eggerthella_lenta--RS_GCF_000024265.1,,18
s__Bacillus_A_anthracis--RS_GCF_000742895.1,soil,1
s__Enterococcus_B_lactis--RS_GCF_015751045.1,facility,6
s__Akkermansia_muciniphila--RS_GCF_000020225.1,environmental system determined by an organism,2
s__Flavonifractor_plautii--RS_GCF_000239295.1,biome,5
s__Bacillus_A_cereus--RS_GCF_000007825.1,undersea feature,1
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,arid biome,1
s__Bacillus_A_anthracis--RS_GCF_000742895.1,mud volcano,1
s__Enterococcus_faecalis--RS_GCF_000392875.1,planetary landmass,1
s__Ligilactobacillus_ruminis--RS_GCF_900113455.1,,15
s__Bacteroides_fragilis--RS_GCF_000025985.1,human-associated habitat,13
s__Bacillus_A_bombysepticus--RS_GCF_006384875.1,soil,10
s__Ruminococcus_E_bromii_B--RS_GCF_002834235.1,watercourse,1
s__Bacillus_velezensis--RS_GCF_001461825.1,tidal mudflat,1
s__Akkermansia_sp004167605--RS_GCF_004167605.1,watercourse,1
s__Citrobacter_portucalensis--RS_GCF_002042885.1,sewage,1
s__Helicobacter_pylori_BU--RS_GCF_900120335.1,terrestrial biome,1
s__Enterobacter_asburiae_B--RS_GCF_007035645.1,sewage,2
s__Bacillus_velezensis--RS_GCF_001461825.1,plant-associated environment,1
s__Prochlorococcus_A_sp000635495--GB_GCA_000635495.1,,64
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,biome,9
s__Enterococcus_B_hirae--RS_GCF_000271405.2,human-associated habitat,1
s__Bacillus_velezensis--RS_GCF_001461825.1,fermented soybean product,1
s__Klebsiella_michiganensis--RS_GCF_002925905.1,farmyard manure,2
s__Bacillus_subtilis--RS_GCF_000009045.1,tropical savanna biome,1
s__Prevotella_copri_A--RS_GCF_002224675.1,watercourse,5
s__Bacillus_A_tropicus--RS_GCF_001884035.1,sediment,1
s__Serratia_nematodiphila--RS_GCF_000738675.1,,29
s__Faecalibacterium_duncaniae--RS_GCF_010509575.1,terrestrial biome,5
s__Blautia_A_wexlerae--GB_GCA_025148125.1,watercourse,16
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,human-associated habitat,5
s__Streptococcus_thermophilus--RS_GCF_010120595.1,hospital,1
s__Xanthomonas_oryzae--RS_GCF_004136375.1,tropical biome,1
s__Bifidobacterium_globosum--RS_GCF_000741295.1,alimentary part of gastrointestinal system,1
s__Acinetobacter_junii--RS_GCF_000368765.1,sludge,1
s__Corynebacterium_glutamicum--RS_GCF_000011325.1,sandy desert,1
s__Lactococcus_lactis--RS_GCF_900099625.1,milk,1
s__Citrobacter_freundii--RS_GCF_011064845.1,sediment,1
s__Staphylococcus_lugdunensis--RS_GCF_002901705.1,habitat,1
s__Bacillus_subtilis--RS_GCF_000009045.1,,48
s__Vibrio_cholerae--RS_GCF_000621645.1,,25
s__Lactobacillus_iners--RS_GCF_000160875.1,human-associated habitat,1
s__Staphylococcus_argenteus--RS_GCF_000236925.1,Homo sapiens,1
s__Staphylococcus_warneri--RS_GCF_900636385.1,biome,2
s__Citrobacter_portucalensis--RS_GCF_002042885.1,biome,1
s__Limosilactobacillus_reuteri_E--RS_GCF_013694365.1,broiler,2
s__Acinetobacter_pittii--RS_GCF_000369045.1,feces,1
s__Bacteroides_fragilis--RS_GCF_000025985.1,watercourse,3
s__Bacillus_paralicheniformis--RS_GCF_001042485.2,lake,1
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,19650 - chicken fresh meat (efsa foodex2),1
s__Corynebacterium_pseudotuberculosis--RS_GCF_002155265.1,tropical,1
s__Parabacteroides_merdae--GB_GCA_025151215.1,alimentary part of gastrointestinal system,1
s__Staphylococcus_simulans--RS_GCF_002902285.1,human-associated habitat,1
s__Limosilactobacillus_reuteri_E--RS_GCF_013694365.1,food material,1
s__Mediterraneibacter_faecis--GB_GCA_001312505.1,watercourse,2
s__Staphylococcus_ureilyticus--RS_GCF_002902235.1,,1
s__Citrobacter_werkmanii--GB_GCA_000759755.1,feces,1
s__Staphylococcus_hominis--RS_GCF_002901845.1,zone of skin,46
s__Ralstonia_solanacearum--RS_GCF_002251695.1,tropical,6
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,sewage,25
s__Faecalibacterium_longum--RS_GCF_020687245.1,watercourse,6
s__Mediterraneibacter_faecis--GB_GCA_001312505.1,terrestrial biome,4
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,hot spring,1
s__Xanthomonas_cissicola--RS_GCF_008801575.1,subtropical biome,3
s__Bacillus_licheniformis--RS_GCF_000011645.1,hot spring,4
s__Lactobacillus_gasseri--RS_GCF_000014425.1,terrestrial biome,3
s__Bacillus_licheniformis--RS_GCF_000011645.1,mangrove swamp,1
s__Enterococcus_faecalis--RS_GCF_000392875.1,intestine,1
s__Bifidobacterium_infantis--RS_GCF_000269965.1,unidentified,1
s__Bacillus_A_bombysepticus--RS_GCF_006384875.1,finfish farming process,1
s__Enterobacter_asburiae_B--RS_GCF_007035645.1,freshwater biome,1
s__Serratia_nematodiphila--RS_GCF_000738675.1,biome,1
s__Staphylococcus_warneri--RS_GCF_900636385.1,feces,1
s__Parabacteroides_distasonis--RS_GCF_000012845.1,,67
s__Glaesserella_parasuis--RS_GCF_002015085.1,,1
s__Aeromonas_hydrophila--RS_GCF_000014805.1,woodland area,25
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,dairy food product,3
s__Bacillus_A_cereus--RS_GCF_000007825.1,biome,5
s__Bacillus_A_cereus--RS_GCF_000007825.1,field soil,2
s__Faecalibacterium_duncaniae--RS_GCF_010509575.1,watercourse,8
s__Alistipes_putredinis--RS_GCF_000154465.1,watercourse,2
s__Alistipes_onderdonkii--GB_GCA_025145285.1,terrestrial biome,1
s__Bacillus_A_tropicus--RS_GCF_001884035.1,agricultural ecosystem,1
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,Bacteria,1
s__Parabacteroides_distasonis--RS_GCF_000012845.1,digestive system,1
s__Campylobacter_D_jejuni--RS_GCF_001457695.1,human-associated habitat,2
s__Prevotella_copri_A--RS_GCF_002224675.1,human-associated habitat,2
s__Cutibacterium_acnes--RS_GCF_003030305.1,human-associated habitat,2
s__Citrobacter_braakii--RS_GCF_002075345.1,food material,1
s__Enterococcus_faecalis--RS_GCF_000392875.1,livestock-associated habitat,1
s__Xanthomonas_arboricola--RS_GCF_001013475.1,biome,1
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,lentic water body,1
s__Burkholderia_cepacia--RS_GCF_001411495.1,habitat,1
s__Proteus_mirabilis--RS_GCF_000160755.1,biome,6
s__Rhizobium_leguminosarum_L--RS_GCF_000009265.1,root nodule,5
s__Cutibacterium_acnes--RS_GCF_003030305.1,fresh water,8
s__Parabacteroides_merdae--GB_GCA_025151215.1,microcosm,1
s__Acinetobacter_pittii--RS_GCF_000369045.1,freshwater biome,1
s__Priestia_megaterium--RS_GCF_000832985.1,terrestrial biome,1
s__Gemmiger_qucibialis--GB_GCA_004000625.1,microcosm,1
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,biome,3
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,,133
s__Achromobacter_xylosoxidans--RS_GCF_001457475.1,,4
s__Streptococcus_salivarius--RS_GCF_000785515.1,anatomical cavity,3
s__Enterococcus_B_durans--RS_GCF_001544215.1,watercourse,1
s__Pseudomonas_E_asiatica--RS_GCF_009932335.1,hospital,6
s__Alistipes_putredinis--RS_GCF_000154465.1,feces,2
s__Pseudomonas_E_protegens--RS_GCF_000397205.1,farm,1
s__Bacillus_A_mycoides--RS_GCF_000832605.1,biome,1
s__Klebsiella_aerogenes--RS_GCF_000215745.1,nest of ant,1
s__Xylella_fastidiosa--RS_GCF_011801475.1,garden,1
s__Micrococcus_luteus--RS_GCF_000023205.1,terrestrial biome,1
s__Fusicatenibacter_saccharivorans--RS_GCF_015557635.1,,38
s__Pseudomonas_E_fulva--RS_GCF_000730565.1,biome,44
s__Enterococcus_B_lactis--RS_GCF_015751045.1,human-associated habitat,1
s__Phascolarctobacterium_faecium--RS_GCF_003269275.1,human-associated habitat,30
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,China,1
s__Bacteroides_ovatus--RS_GCF_001314995.1,terrestrial biome,9
s__Listeria_monocytogenes--RS_GCF_900187225.1,Homo sapiens,1
s__Serratia_marcescens--RS_GCF_017299535.1,hospital,2
s__Bacillus_A_cereus--RS_GCF_000007825.1,coast,1
s__Micrococcus_luteus--RS_GCF_000023205.1,mine,1
s__Bacillus_altitudinis--RS_GCF_000691145.1,sea,3
s__Bacillus_velezensis--RS_GCF_001461825.1,watercourse,1
s__Faecalibacterium_prausnitzii--RS_GCF_003324185.1,fecal environment,1
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1,field,1
s__Enterococcus_B_lactis--RS_GCF_015751045.1,food material,2
s__Agathobacter_rectalis--GB_GCA_000020605.1,,75
s__Staphylococcus_argenteus--RS_GCF_000236925.1,,40
s__Listeria_monocytogenes_B--RS_GCF_000307025.1,,4
s__Enterococcus_B_hirae--RS_GCF_000271405.2,,8
s__Bacillus_subtilis--RS_GCF_000009045.1,chicken,1
s__Ligilactobacillus_ruminis--RS_GCF_900113455.1,biome,29
s__Bacteroides_ovatus--RS_GCF_001314995.1,intestine,1
s__Ralstonia_solanacearum--RS_GCF_002251695.1,agricultural field,7
s__Bacillus_A_anthracis--RS_GCF_000742895.1,groundwater,1
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,fecal environment,1
s__Bifidobacterium_adolescentis--RS_GCF_000010425.1,watercourse,4
s__Staphylococcus_saprophyticus--RS_GCF_000010125.1,freshwater biome,1
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,Homo sapiens,1
s__Bacillus_licheniformis--RS_GCF_000011645.1,national geopolitical entity,1
s__Enterococcus_B_lactis--RS_GCF_015751045.1,hospital,1
s__Bifidobacterium_animalis--RS_GCF_000260715.1,,21
s__Alistipes_putredinis--RS_GCF_000154465.1,,24
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,human-associated habitat,5
s__Bacillus_A_toyonensis--RS_GCF_000496285.1,village,3
s__Cutibacterium_acnes--RS_GCF_003030305.1,osteomyelitis,1
s__Micrococcus_luteus--RS_GCF_000023205.1,human-associated habitat,1
s__Serratia_nevei--RS_GCF_008364245.1,,47
s__Bacillus_A_bombysepticus--RS_GCF_006384875.1,,7
s__Rhodococcus_equi--RS_GCF_002094305.1,,18
s__Sarcina_perfringens--RS_GCF_000013285.1,freshwater biome,3
s__Phascolarctobacterium_faecium--RS_GCF_003269275.1,terrestrial biome,2
s__Staphylococcus_haemolyticus--RS_GCF_006094395.1,zone of skin,13
s__Xanthomonas_cissicola--RS_GCF_008801575.1,field,3
s__Anaerostipes_hadrus--RS_GCF_000332875.2,digestive system,1
s__Burkholderia_cepacia--RS_GCF_001411495.1,field,1
s__Burkholderia_contaminans--RS_GCF_000987075.1,soil,1
s__Acinetobacter_junii--RS_GCF_000368765.1,human-associated habitat,1
s__Serratia_ureilytica--RS_GCF_013375155.1,spring,1
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,habitat,1
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,feces,1
s__Streptococcus_suis--RS_GCF_000294495.1,,11
s__Gemmiger_qucibialis--GB_GCA_004000625.1,Homo sapiens,7
s__Campylobacter_D_jejuni--RS_GCF_001457695.1,digestive tract,4
s__Bifidobacterium_globosum--RS_GCF_000741295.1,habitat,1
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,Homo sapiens,1
s__Citrobacter_braakii--RS_GCF_002075345.1,,10
s__Gemmiger_qucibialis--GB_GCA_004000625.1,,11
s__Brucella_melitensis--RS_GCF_000007125.1,,60
s__Agathobacter_rectalis--GB_GCA_000020605.1,Homo sapiens,13
s__Bifidobacterium_infantis--RS_GCF_000269965.1,watercourse,4
s__Citrobacter_portucalensis--RS_GCF_002042885.1,anthropogenic terrestrial biome,2
s__Piscirickettsia_salmonis--RS_GCF_000297215.2,sea water,12
s__Bacillus_subtilis--RS_GCF_000009045.1,broiler,1
s__Bacillus_velezensis--RS_GCF_001461825.1,planetary landmass,2
s__Pseudomonas_E_asiatica--RS_GCF_009932335.1,marsh,6
s__Shewanella_algae--RS_GCF_009183365.2,blood,2
s__Bifidobacterium_longum--RS_GCF_000196555.1,Homo sapiens,6
s__Ruminococcus_D_bicirculans--RS_GCF_000723465.1,terrestrial biome,1
s__Phascolarctobacterium_faecium--RS_GCF_003269275.1,digestive system,1
s__Methanosarcina_mazei--RS_GCF_000970205.1,,10
s__Micrococcus_luteus--RS_GCF_000023205.1,marine biome,3
s__Burkholderia_gladioli--RS_GCF_000959725.1,field,1
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,marine biome,4
s__Bifidobacterium_adolescentis--RS_GCF_000010425.1,microcosm,1
s__Pseudomonas_E_alloputida--RS_GCF_021282585.1,unidentified,1
s__Lactococcus_lactis--RS_GCF_900099625.1,environmental system determined by an organism,1
s__Prevotella_copri_B--RS_GCF_009494135.1,,11
s__Agrobacterium_tumefaciens--RS_GCF_001541315.1,,29
s__Rhizobium_rhizogenes--RS_GCF_000696095.1,,3
s__Mammaliicoccus_sciuri--RS_GCF_002901825.1,,1
s__Piscirickettsia_salmonis--RS_GCF_000297215.2,marine biome,1
s__Levilactobacillus_brevis--RS_GCF_001433855.1,beer,7
s__Bifidobacterium_adolescentis--RS_GCF_000010425.1,alimentary part of gastrointestinal system,1
s__Agathobacter_faecis--RS_GCF_001406815.1,biome,2
s__Bacteroides_uniformis--GB_GCA_025147485.1,alimentary part of gastrointestinal system,1
s__Acinetobacter_pittii--RS_GCF_000369045.1,,18
s__Bacillus_A_thuringiensis--RS_GCF_002119445.1,,7
s__Streptococcus_sp001556435--RS_GCF_009738225.1,biome,19
s__Streptococcus_gordonii--RS_GCF_001553855.1,human-associated habitat,2
s__Enterococcus_B_faecium--RS_GCF_001544255.1,anthropogenic terrestrial biome,18
s__Acinetobacter_radioresistens--RS_GCF_006757745.1,soil,2
s__Staphylococcus_xylosus--RS_GCF_002732165.1,field,1
s__Bacteroides_xylanisolvens--RS_GCF_000210075.1,alimentary part of gastrointestinal system,1
s__Legionella_pneumophila--RS_GCF_000008485.1,river,1
s__Vibrio_anguillarum--RS_GCF_001989995.2,freshwater biome,1
s__Acinetobacter_nosocomialis--RS_GCF_000368085.1,cave,1
s__Fimenecus_sp000432435--GB_GCA_000432435.1,,23
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,,11
s__Chlamydia_trachomatis--RS_GCF_000012125.1,Homo sapiens,17
s__Faecalibacterium_prausnitzii--RS_GCF_003324185.1,human-associated habitat,13
s__Levilactobacillus_brevis--RS_GCF_001433855.1,dairy food product,2
s__Pseudomonas_E_syringae--RS_GCF_000507185.2,garden,1
s__Alistipes_onderdonkii--GB_GCA_025145285.1,alimentary part of gastrointestinal system,1
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,human-associated habitat,3
s__Gemmiger_formicilis--RS_GCF_900167555.1,microcosm,1
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,feces,1
s__Helicobacter_pylori--RS_GCF_900478295.1,Homo sapiens,1
s__Rickettsia_rickettsii--RS_GCF_001951015.1,,37
s__Streptococcus_iniae--RS_GCF_003674745.1,Bacteria,2
s__Anaerostipes_hadrus--RS_GCF_000332875.2,human-associated habitat,11
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,unidentified,2
s__Bifidobacterium_bifidum--RS_GCF_001025135.1,feces,2
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,sludge,4
s__Akkermansia_muciniphila--RS_GCF_000020225.1,garden,2
s__Bacillus_licheniformis--RS_GCF_000011645.1,agricultural process,1
s__Mycobacterium_chelonae--RS_GCF_001632805.1,fresh water,13
s__Flavonifractor_plautii--RS_GCF_000239295.1,watercourse,3
s__Prevotella_copri_A--RS_GCF_002224675.1,digestive system,1
s__Aeromonas_dhakensis--RS_GCF_000820305.1,hospital,1
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,terrestrial biome,3
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,cheese food product,2
s__Bacteroides_stercoris--GB_GCA_025147325.1,terrestrial biome,3
s__Ruminococcus_E_bromii_B--RS_GCF_002834235.1,biome,3
s__Clostridioides_difficile--RS_GCF_001077535.1,feces,4
s__Citrobacter_portucalensis--RS_GCF_002042885.1,watercourse,1
s__Acinetobacter_radioresistens--RS_GCF_006757745.1,terrestrial biome,1
s__Listeria_innocua--RS_GCF_024721565.1,human-associated habitat,1
s__Pectobacterium_versatile_A--RS_GCF_020166435.1,Hyacinthus orientalis,1
s__Clostridioides_difficile--RS_GCF_001077535.1,,295
s__Klebsiella_variicola--RS_GCF_000828055.2,,49
s__Bacteroides_fragilis_A--RS_GCF_002849695.1,,18
s__Bacillus_subtilis--RS_GCF_000009045.1,meadow ecosystem,1
s__Borreliella_garinii--RS_GCF_001922545.1,forested area,1
s__Bacteroides_thetaiotaomicron--RS_GCF_000011065.1,feces,2
s__Agathobacter_rectalis--GB_GCA_000020605.1,alimentary part of gastrointestinal system,1
s__Staphylococcus_haemolyticus--RS_GCF_006094395.1,Bos,3
s__Clostridium_beijerinckii--RS_GCF_018223745.1,populated place,1
s__Bacteroides_xylanisolvens--RS_GCF_000210075.1,environmental system determined by an organism,1
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,intestine,3
s__Bacillus_A_mycoides--RS_GCF_000832605.1,,5
s__Citrobacter_freundii--RS_GCF_011064845.1,waste water,3
s__Bacillus_subtilis--RS_GCF_000009045.1,arid,1
s__Enterococcus_E_cecorum--RS_GCF_000407565.1,digestive system,1
s__Prochlorococcus_A_sp000635495--GB_GCA_000635495.1,ocean,1
s__Bifidobacterium_breve--RS_GCF_001025175.1,bioreactor,2
s__Bacillus_altitudinis--RS_GCF_000691145.1,liquid water,1
s__Staphylococcus_simulans--RS_GCF_002902285.1,terrestrial biome,1
s__Enterobacter_ludwigii--RS_GCF_001750725.1,freshwater biome,2
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,table,1
s__Bacillus_safensis--RS_GCF_000691165.1,arid biome,1
s__Vibrio_parahaemolyticus--RS_GCF_900460535.1,,11
s__Aeromonas_salmonicida--RS_GCF_001643305.1,,5
s__Acinetobacter_indicus--RS_GCF_000488255.1,,3
s__Bifidobacterium_longum--RS_GCF_000196555.1,watercourse,14
s__Xanthomonas_hortorum--RS_GCF_002939985.1,field,10
s__Agathobacter_rectalis--GB_GCA_000020605.1,biome,12
s__Enterobacter_roggenkampii--RS_GCF_001729805.1,human-associated habitat,3
s__Lactococcus_lactis--RS_GCF_900099625.1,agricultural ecosystem,3
s__Xanthomonas_euvesicatoria--RS_GCF_020880415.1,biome,8
s__Priestia_megaterium--RS_GCF_000832985.1,soil,2
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,hospital,2
s__Citrobacter_werkmanii--GB_GCA_000759755.1,wastewater treatment plant,2
s__Agathobacter_rectalis--GB_GCA_000020605.1,fecal environment,1
s__Stenotrophomonas_maltophilia_F--RS_GCF_000284595.1,watercourse,1
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,intestine environment,1
s__Weissella_confusa--GB_GCA_001436895.1,watercourse,1
s__Legionella_pneumophila--RS_GCF_000008485.1,industrial building,2
s__Phocaeicola_dorei--RS_GCF_013009555.1,feces,1
s__Bacillus_A_bombysepticus--RS_GCF_006384875.1,mangrove swamp,1
s__Pseudomonas_E_amygdali--RS_GCF_002699855.1,,11
s__Citrobacter_B_koseri--GB_GCA_900446925.1,,4
s__Moraxella_catarrhalis--RS_GCF_001632285.1,Homo sapiens,7
s__Bacteroides_fragilis--RS_GCF_000025985.1,terrestrial biome,14
s__Bacillus_subtilis--RS_GCF_000009045.1,forested area,2
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,fermented beverage,5
s__Bacteroides_fragilis--RS_GCF_000025985.1,garden,1
s__Bacillus_paralicheniformis--RS_GCF_001042485.2,watercourse,1
s__Klebsiella_oxytoca--RS_GCF_001598695.1,feces,1
s__Bacillus_licheniformis--RS_GCF_000011645.1,soil,1
s__Brucella_melitensis--RS_GCF_000007125.1,plain,1
s__Staphylococcus_lugdunensis--RS_GCF_002901705.1,terrestrial biome,2
s__Mediterraneibacter_faecis--GB_GCA_001312505.1,digestive system,1
s__Bacteroides_xylanisolvens--RS_GCF_000210075.1,digestive system,1
s__Borreliella_burgdorferi--RS_GCF_000008685.2,,64
s__Burkholderia_contaminans--RS_GCF_000987075.1,air vent,7
s__Dorea_formicigenerans--GB_GCA_025150245.1,watercourse,3
s__Bacillus_A_thuringiensis--RS_GCF_002119445.1,lake,2
s__Flavonifractor_plautii--RS_GCF_000239295.1,human-associated habitat,2
s__Stenotrophomonas_maltophilia--RS_GCF_900186865.1,dry soil,1
s__Ruminococcus_B_gnavus--RS_GCF_008121495.1,anthropogenic terrestrial biome,2
s__Pseudomonas_E_syringae--RS_GCF_000507185.2,biome,1
s__Bacillus_paralicheniformis--RS_GCF_001042485.2,human-associated habitat,1
s__Stenotrophomonas_sepilia--RS_GCF_003244875.1,human-associated habitat,1
s__Pelagibacter_sp003209915--GB_GCA_003209915.1,,74
s__Escherichia_fergusonii--RS_GCF_000026225.1,,8
s__Staphylococcus_chromogenes--RS_GCF_002901945.1,,2
s__Staphylococcus_lugdunensis--RS_GCF_002901705.1,zone of skin,23
s__Ruminococcus_D_bicirculans--RS_GCF_000723465.1,feces,7
s__Campylobacter_D_coli--RS_GCF_000254135.1,habitat,1
s__Bifidobacterium_breve--RS_GCF_001025175.1,terrestrial biome,4
s__Agrobacterium_pusense--RS_GCF_900102105.1,hospital,1
s__Corynebacterium_pseudotuberculosis--RS_GCF_002155265.1,,32
s__Blautia_A_massiliensis--RS_GCF_001487165.1,watercourse,5
s__Streptococcus_sp001556435--RS_GCF_009738225.1,feces,10
s__Gemmiger_formicilis--RS_GCF_900167555.1,human-associated habitat,14
s__Pectobacterium_versatile_A--RS_GCF_020166435.1,undersea feature,1
s__Streptococcus_thermophilus--RS_GCF_010120595.1,agricultural ecosystem,1
s__Francisella_tularensis--RS_GCF_000008985.1,wild animal,2
s__Bacillus_subtilis--RS_GCF_000009045.1,factory,1
s__Serratia_marcescens_K--RS_GCF_002220655.1,Argentina <ray-finned fishes>,1
s__Enterococcus_B_durans--RS_GCF_001544215.1,steppe,1
s__Xanthomonas_cissicola--RS_GCF_008801575.1,,25
s__Staphylococcus_capitis--RS_GCF_002902325.1,Homo sapiens,10
s__Bifidobacterium_animalis--RS_GCF_000260715.1,human-associated habitat,2
s__Bifidobacterium_adolescentis--RS_GCF_000010425.1,terrestrial biome,5
s__Phocaeicola_dorei--RS_GCF_013009555.1,human-associated habitat,10
s__Bacillus_altitudinis--RS_GCF_000691145.1,mangrove biome soil,1
s__Ralstonia_solanacearum--RS_GCF_002251695.1,greenhouse,2
s__Stenotrophomonas_maltophilia--RS_GCF_900186865.1,feces,1
s__Enterobacter_kobei--RS_GCF_001729765.1,feces,1
s__Vibrio_alginolyticus--RS_GCF_000354175.2,barramundi,1
s__Enterococcus_faecalis--RS_GCF_000392875.1,terrestrial biome,55
s__Eggerthella_lenta--RS_GCF_000024265.1,Homo sapiens,10
s__Citrobacter_freundii--RS_GCF_011064845.1,sludge,2
s__Bacillus_A_cereus--RS_GCF_000007825.1,China,1
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,watercourse,4
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,human-associated habitat,2
s__Enterobacter_asburiae_B--RS_GCF_007035645.1,human-associated habitat,1
s__Aeromonas_hydrophila--RS_GCF_000014805.1,unidentified,4
s__Staphylococcus_warneri--RS_GCF_900636385.1,Homo sapiens,2
s__Bifidobacterium_breve--RS_GCF_001025175.1,food product,1
s__Alistipes_onderdonkii--GB_GCA_025145285.1,intestine,1
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1,sewage,1
s__Bacillus_paralicheniformis--RS_GCF_001042485.2,valley,1
s__Acinetobacter_nosocomialis--RS_GCF_000368085.1,estuarine biome,1
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,,12
s__Xylella_fastidiosa--RS_GCF_011801475.1,,4
s__Phascolarctobacterium_faecium--RS_GCF_003269275.1,biome,18
s__Bacteroides_stercoris--GB_GCA_025147325.1,human-associated habitat,5
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,paddy field,4
s__Blautia_A_wexlerae--GB_GCA_025148125.1,terrestrial biome,4
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,farm,4
s__Enterobacter_ludwigii--RS_GCF_001750725.1,human-associated habitat,3
s__Pseudomonas_E_alloputida--RS_GCF_021282585.1,freshwater environment,1
s__Serratia_nematodiphila--RS_GCF_000738675.1,contaminated soil,1
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,,120
s__Phascolarctobacterium_faecium--RS_GCF_003269275.1,,17
