feature_id,old_locus_tag,gene_names,rast_function,bakta_function,agent_annotation,rast_class,bakta_class,agent_class,rast_category,best_source,best_annotation
ACIAD_RS03690,ACIAD0798,,Integral membrane protein,DUF218 domain-containing protein,"DUF218 (Rossmann-like) cell-envelope integrity protein that supports outer-membrane/cell-wall maintenance, contributing to resistance to cell-envelope–targeting antibiotics and stresses; commonly colocalized with fatty-acid biosynthesis (fabV/fabZ/fabG) and membrane exporter genes.",specific,hypothetical,hypothetical,other_specific,RAST,Integral membrane protein
ACIAD_RS03685,ACIAD0797,,DUF2750 domain-containing protein,DUF2750 domain-containing protein,"Putative accessory membrane protein (DUF2750) in fatty acid/acid catabolism operons, contributing to β-oxidation and utilization of medium-chain fatty acids and dicarboxylates.",hypothetical,hypothetical,specific,other_specific,Agent,"Putative accessory membrane protein (DUF2750) in fatty acid/acid catabolism operons, contributing to β-oxidation and utilization of medium-chain fatty acids and dicarboxylates."
ACIAD_RS03650,,elsL,"L,D-transpeptidase","cell wall-recycling L,D-carboxypeptidase ElsL","Putative YkuD-family L,D-transpeptidase involved in peptidoglycan remodeling/cross-linking, contributing to cell envelope and stress tolerance.",specific,specific,specific,enzyme,RAST,"L,D-transpeptidase"
ACIAD_RS03645,ACIAD0794,,Inner membrane protein YbaN,Inner membrane protein,,specific,specific,missing,other_specific,RAST,Inner membrane protein YbaN
ACIAD_RS03640,ACIAD0793,,DUF1853 family protein,DUF1853 domain-containing protein,"Putative accessory component of the vitamin B12 (cobalamin) uptake system (DUF1853/BtuM family), likely involved in cobalamin transport and/or utilization.",hypothetical,hypothetical,specific,other_specific,Agent,"Putative accessory component of the vitamin B12 (cobalamin) uptake system (DUF1853/BtuM family), likely involved in cobalamin transport and/or utilization."
ACIAD_RS03635,ACIAD0792,,Entericidin A/B family protein,Entericidin A/B family lipoprotein,Putative small inner-membrane protein (Entericidin A/B family) that functions with the TctDE/TctABC tricarboxylate (citrate) uptake system and is important for growth on citrate/tricarboxylates.,specific,specific,specific,other_specific,RAST,Entericidin A/B family protein
ACIAD_RS03630,,dapE,"N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)",succinyl-diaminopimelate desuccinylase,"Metallopeptidase M20A succinyl-diaminopimelate desuccinylase (DapE), a lysine/meso-diaminopimelate biosynthesis enzyme contributing to peptidoglycan/cell-wall formation; ortholog mutants show reduced fitness in minimal growth conditions and increased sensitivity to oxidative and heavy-metal stresses (e.g., paraquat, thallium, cobalt).",specific,specific,specific,enzyme,RAST,"N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)"
ACIAD_RS03625,ACIAD0790,,Signal transduction histidine kinase CheA,histidine kinase,"CheA-like chemotaxis sensor histidine kinase with multiple Hpt phosphotransfer domains, catalyzing ATP-dependent autophosphorylation and phosphotransfer to downstream response regulators in a chemosensory/two-component signaling pathway.",specific,specific,specific,enzyme,RAST,Signal transduction histidine kinase CheA
ACIAD_RS03620,ACIAD0789,,type IV pilus biogenesis protein PilJ,Methyl-accepting chemotaxis protein,"Putative accessory/electron-transfer component of an aromatic-compound catabolic gene cluster, associated with ring-hydroxylating dioxygenase systems (e.g., anthranilate/hydroxycinnamate/lignin-derived aromatic degradation).",specific,specific,specific,other_specific,RAST,type IV pilus biogenesis protein PilJ
ACIAD_RS03615,ACIAD0788,,type IV pili signal transduction protein PilI,Twitching motility protein,Chemotaxis signaling adaptor CheW that couples methyl-accepting chemotaxis receptors to the CheA histidine kinase in the chemosensory array.,specific,specific,specific,other_specific,RAST,type IV pili signal transduction protein PilI
ACIAD_RS03610,ACIAD0787,,twitching motility protein PilH,Twitching motility protein,Single-domain CheY-like response regulator (receiver-only) likely acting in two-component signal transduction to modulate stress and metabolic adaptation; disruption alters fitness under diverse stress (antibiotics/oxidants/metals) and nutrient-source conditions in multiple bacteria.,specific,specific,specific,other_specific,RAST,twitching motility protein PilH
ACIAD_RS03605,ACIAD0786,pilG,twitching motility protein PilG,twitching motility response regulator PilG,"Two-component system response regulator with a CheY-like receiver (REC) domain, likely acting as a phosphorylation-dependent signal transduction protein.",specific,specific,specific,other_specific,RAST,twitching motility protein PilG
ACIAD_RS03600,ACIAD0785,,hypothetical protein,DUF4124 domain-containing protein,,hypothetical,hypothetical,missing,hypothetical,None available,
ACIAD_RS03595,ACIAD0784,,"RND efflux system, membrane fusion protein",Nodulation protein,"RND-type efflux system periplasmic membrane fusion (CzcB-like) adaptor protein, important for growth on glycerol/sucrose and plant-associated conditions and influencing stress tolerance.",specific,specific,specific,transporter,RAST,"RND efflux system, membrane fusion protein"
ACIAD_RS03590,ACIAD0783,nolG,"RND efflux system, inner membrane transporter",Nodulation protein NolG,Putative AcrB-family RND multidrug efflux transporter (acriflavin resistance protein) that docks with TolC to export diverse toxic compounds/antibiotics.,specific,specific,specific,transporter,RAST,"RND efflux system, inner membrane transporter"
ACIAD_RS03585,,proS,"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type",proline--tRNA ligase,Prolyl-tRNA synthetase (ProRS; class IIa) that aminoacylates tRNA(Pro) with L-proline and includes a YbaK-like editing domain likely involved in hydrolyzing misacylated Cys-tRNA(Pro).,specific,specific,specific,enzyme,RAST,"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type"
ACIAD_RS03580,ACIAD0781,,DUF4882 family protein,DUF4882 domain-containing protein,"Putative iron–sulfur/iron homeostasis-associated protein (DUF4882 family); disruption can increase fitness on some carbon sources (e.g., glucose, Tween 20), suggesting a nonessential accessory or regulatory role in metabolism-linked iron/Fe–S processes.",hypothetical,hypothetical,specific,other_specific,Agent,"Putative iron–sulfur/iron homeostasis-associated protein (DUF4882 family); disruption can increase fitness on some carbon sources (e.g., glucose, Tween 20), suggesting a nonessential accessory or regulatory role in metabolism-linked iron/Fe–S processes."
ACIAD_RS03575,ACIAD0780,filA,hypothetical protein,FilA,"Predicted inner-membrane permease subunit (YecS/TcyB family) of an ABC importer for L-cystine/polar amino acids, supporting amino acid (sulfur) uptake under specific nutrient conditions.",hypothetical,specific,specific,hypothetical,Bakta,FilA
ACIAD_RS03570,ACIAD0779,,hypothetical protein,DUF6160 domain-containing protein,"Conserved DUF6160 (UPF0370/YpfN-family) small protein, likely membrane-associated, that impacts growth/fitness under diverse stress and nutrient conditions, consistent with a role in cell-envelope/transport-associated physiology.",hypothetical,hypothetical,specific,hypothetical,Agent,"Conserved DUF6160 (UPF0370/YpfN-family) small protein, likely membrane-associated, that impacts growth/fitness under diverse stress and nutrient conditions, consistent with a role in cell-envelope/transport-associated physiology."
ACIAD_RS03565,ACIAD0778,,hypothetical protein,hypothetical protein,"TusE-family sulfur relay protein required for 2-thiolation of wobble uridine in tRNA (mnm5s2U biosynthesis), supporting efficient translation and growth under specific nutrient/stress conditions.",hypothetical,hypothetical,specific,hypothetical,Agent,"TusE-family sulfur relay protein required for 2-thiolation of wobble uridine in tRNA (mnm5s2U biosynthesis), supporting efficient translation and growth under specific nutrient/stress conditions."
ACIAD_RS03560,ACIAD0777,pilC,hypothetical protein,PilC beta-propeller domain-containing protein,,hypothetical,specific,missing,hypothetical,Bakta,PilC beta-propeller domain-containing protein
ACIAD_RS03555,ACIAD0776,dcd,Deoxycytidine triphosphate deaminase (EC 3.5.4.13),dCTP deaminase,"dCTP deaminase (Dcd), a trimeric dUTPase-like enzyme involved in pyrimidine deoxynucleotide metabolism by deaminating dCTP to dUTP for dTTP biosynthesis; mutants show condition-dependent fitness defects consistent with a role in optimal growth.",specific,specific,specific,enzyme,RAST,Deoxycytidine triphosphate deaminase (EC 3.5.4.13)
ACIAD_RS03550,ACIAD0775,matE,"Transporter, LysE family",Multidrug transporter MatE,"Putative LeuE-family amino acid exporter, likely mediating efflux of branched-chain amino acids (e.g., leucine/isoleucine/valine).",specific,specific,specific,transporter,RAST,"Transporter, LysE family"
ACIAD_RS03545,ACIAD0774,,COGs COG3216,DUF2062 domain-containing protein,"DUF2062 family protein of unknown molecular function; mutations in a homolog modestly affected fitness under nitrite and DMSO stress, suggesting a possible role in stress tolerance.",specific,hypothetical,hypothetical,other_specific,RAST,COGs COG3216
ACIAD_RS03540,ACIAD0773,mtnN,5'-methylthioadenosine nucleosidase (EC 3.2.2.16);S-adenosylhomocysteine nucleosidase (EC 3.2.2.9),5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,"Putative nucleoside phosphorylase (DeoD/PNP-family) involved in nucleoside salvage/catabolism by phosphorolysis of (deoxy)ribonucleosides to free base plus (deoxy)ribose-1-phosphate, contributing to utilization of deoxyribose/nucleic-acid–derived substrates.",specific,specific,specific,enzyme,RAST,5'-methylthioadenosine nucleosidase (EC 3.2.2.16);S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)
ACIAD_RS03535,ACIAD0772,apbC,[4Fe-4S] cluster assembly scaffold protein Mrp (=ApbC),iron-sulfur cluster carrier protein ApbC,Mrp/NBP35 family P-loop NTPase (NUBPL-like) implicated in iron–sulfur cluster biogenesis/transfer as a putative Fe-S cluster carrier/assembling factor.,specific,specific,specific,other_specific,RAST,[4Fe-4S] cluster assembly scaffold protein Mrp (=ApbC)
ACIAD_RS03530,ACIAD0770,,hypothetical protein,hypothetical protein,,hypothetical,hypothetical,missing,hypothetical,None available,
ACIAD_RS03525,ACIAD0769,,Nucleoside-specific channel-forming protein Tsx precursor,Nucleoside-specific channel-forming protein,"Predicted Tsx-family outer membrane nucleoside channel/porin, likely mediating uptake of nucleosides/nucleobases and contributing to growth under specific nutrient conditions and to fitness under multiple chemical/oxidative stresses.",specific,specific,specific,transporter,RAST,Nucleoside-specific channel-forming protein Tsx precursor
ACIAD_RS03520,,metG,Methionyl-tRNA synthetase (EC 6.1.1.10),methionine--tRNA ligase,"Methionyl-tRNA synthetase (MetG), a class I aminoacyl-tRNA ligase that charges tRNA(Met) with methionine for protein synthesis; disruption strongly impairs growth in diverse media, consistent with an essential translation function (with occasional increased mutant fitness under chlorate/perchlorate likely reflecting reduced translation during oxidant stress).",specific,specific,specific,enzyme,RAST,Methionyl-tRNA synthetase (EC 6.1.1.10)
ACIAD_RS03515,ACIAD0767,,hypothetical protein,Phage abortive infection protein,"Putative abortive infection (anti-phage) defense protein that contributes to stress/antibiotic tolerance, as mutants of close homologs show reduced fitness under multiple antibiotics and DNA-damaging agents.",hypothetical,specific,specific,hypothetical,Agent,"Putative abortive infection (anti-phage) defense protein that contributes to stress/antibiotic tolerance, as mutants of close homologs show reduced fitness under multiple antibiotics and DNA-damaging agents."
ACIAD_RS03510,ACIAD0766,,MBL-fold metallo-hydrolase superfamily,Metallo-beta-lactamase domain-containing protein,Predicted metallo-β-lactamase superfamily metal-dependent hydrolase (ribonuclease Z/hydroxyacylglutathione hydrolase-like family).,specific,specific,specific,enzyme,RAST,MBL-fold metallo-hydrolase superfamily
ACIAD_RS03505,ACIAD0765,,"Hydrolase, alpha/beta fold family",Alpha/beta hydrolase,"Putative alpha/beta-hydrolase–family enzyme, predicted to function as an esterase/methylesterase (methylesterase/alpha-hydroxynitrile lyase family).",specific,specific,specific,enzyme,RAST,"Hydrolase, alpha/beta fold family"
ACIAD_RS03500,ACIAD0764,,"2-Oxobutyrate oxidase, putative",2-oxoglutarate-dependent ethylene/succinate-forming enzyme,"Putative Fe(II)/2-oxoglutarate-dependent dioxygenase (isopenicillin N synthase-like superfamily), likely catalyzing an iron/ascorbate-dependent oxidative modification of a small-molecule substrate.",specific,specific,specific,enzyme,RAST,"2-Oxobutyrate oxidase, putative"
ACIAD_RS03495,ACIAD0762,,"Unknown substrate:proton symporter, NAT/NCS2 family",Uracil permease,Predicted nucleobase:cation symporter (NCS2 family) likely functioning as a xanthine/uracil/uric acid permease for uptake of purine/pyrimidine bases.,specific,specific,specific,transporter,RAST,"Unknown substrate:proton symporter, NAT/NCS2 family"
ACIAD_RS03490,ACIAD0761,,Guanine deaminase (EC 3.5.4.3);Hydroxydechloroatrazine ethylaminohydrolase (EC 3.5.99.3),8-oxoguanine deaminase,Predicted metal-dependent amidohydrolase functioning as 5-methylthioadenosine/S-adenosylhomocysteine deaminase (MTA/SAH deaminase) in sulfur/methionine salvage metabolism.,specific,specific,specific,enzyme,RAST,Guanine deaminase (EC 3.5.4.3);Hydroxydechloroatrazine ethylaminohydrolase (EC 3.5.99.3)
ACIAD_RS03485,ACIAD0760,,hypothetical protein,Lipoprotein,"Conserved protein of unknown biochemical activity implicated in utilization of TCA-cycle dicarboxylates and glutamate-family substrates, as mutants show strong defects during growth on succinate/fumarate/α-ketoglutarate/acetate and related amino acids.",hypothetical,specific,specific,hypothetical,Bakta,Lipoprotein
ACIAD_RS03480,ACIAD0759,,L-lysine permease,Putative threonine efflux protein (RhtC),"LeuE-family inner-membrane amino acid exporter/efflux protein that contributes to cell-envelope stress tolerance, including resistance to bacitracin and other cell wall–active antibiotics and high-salt/osmotic stress.",specific,specific,specific,transporter,RAST,L-lysine permease
ACIAD_RS03475,,,SAM-dependent methyltransferase YafE (UbiE paralog),Class I SAM-dependent methyltransferase,"Putative S-adenosyl-L-methionine–dependent methyltransferase (UbiE/COQ5 family; PaaM-like) implicated in phenylacetate catabolism and related β-oxidation pathways, as mutations in homologs reduce fitness during growth on phenylacetic acid and fatty-acid/ester substrates.",specific,specific,specific,enzyme,RAST,SAM-dependent methyltransferase YafE (UbiE paralog)
ACIAD_RS03470,ACIAD0757,,"Transcriptional regulator, AcrR family",TetR/AcrR family transcriptional regulator,"TetR-family DNA-binding transcriptional regulator likely controlling a neighboring lipopolysaccharide/exopolysaccharide glycosylation gene cluster, with homolog mutants showing reduced fitness in minimal media and plant xylem sap conditions.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, AcrR family"
ACIAD_RS03465,ACIAD0756,,Inner-membrane proton/drug antiporter (MSF type) of tripartite multidrug efflux system,Putative transporter (MFS superfamily),"Major facilitator superfamily (MFS) membrane transporter that is genetically linked to cytochrome bd-I ubiquinol oxidase (cydA) and likely functions as an accessory transporter required for optimal bd oxidase–dependent respiration and stress survival (e.g., cold survival, motility, and chemical/oxidative stresses).",specific,specific,specific,transporter,RAST,Inner-membrane proton/drug antiporter (MSF type) of tripartite multidrug efflux system
ACIAD_RS03460,ACIAD0755,hlyD,Membrane fusion component of MSF-type tripartite multidrug efflux system,HlyD family secretion protein,"Periplasmic membrane fusion/adaptor protein (MdtA/CusB family) likely forming a tripartite RND-type multidrug efflux pump, contributing to resistance to cell-wall–active antibiotics (e.g., D-cycloserine) and other toxic compounds.",specific,specific,specific,transporter,RAST,Membrane fusion component of MSF-type tripartite multidrug efflux system
ACIAD_RS03455,,,Phosphoserine phosphatase (EC 3.1.3.3),Phosphoserine phosphatase,"HAD-family hydrolase (putative phosphatase) that functions in branched-chain amino acid (especially L-leucine/isovalerate) catabolism, as part of a conserved methylcrotonyl-CoA carboxylase/isovaleryl-CoA dehydrogenase gene cluster.",specific,specific,specific,enzyme,RAST,Phosphoserine phosphatase (EC 3.1.3.3)
ACIAD_RS03450,ACIAD0753,,"pyridoxal phosphate-dependent deaminase, putative",1-aminocyclopropane-1-carboxylate deaminase,"Putative PLP-dependent 1-aminocyclopropane-1-carboxylate (ACC) deaminase/D-cysteine desulfhydrase, likely involved in cysteine/ACC catabolism and contributing to broad stress tolerance (methylglyoxal, oxidative and antibiotic stresses).",specific,specific,specific,other_specific,RAST,"pyridoxal phosphate-dependent deaminase, putative"
ACIAD_RS03445,ACIAD0752,,Uncharacterized protein YhiN,NAD(P)/FAD-dependent oxidoreductase,"NAD(P)H-dependent flavin oxidoreductase of the BaiN/RsdA family (putative ene/enone reductase acting on hydrophobic unsaturated substrates), important for growth on fatty acids and for tolerance to cell-envelope stresses such as polymyxin/bacitracin.",hypothetical,specific,specific,hypothetical,Agent,"NAD(P)H-dependent flavin oxidoreductase of the BaiN/RsdA family (putative ene/enone reductase acting on hydrophobic unsaturated substrates), important for growth on fatty acids and for tolerance to cell-envelope stresses such as polymyxin/bacitracin."
ACIAD_RS03440,,,hypothetical protein,hypothetical protein,,hypothetical,hypothetical,missing,hypothetical,None available,
ACIAD_RS03435,ACIAD0750,,Small-conductance mechanosensitive channel,Small-conductance mechanosensitive channel,Mechanosensitive ion channel (MscS family) that opens in response to membrane tension during osmotic downshock to relieve turgor by releasing ions/small solutes.,specific,specific,specific,transporter,RAST,Small-conductance mechanosensitive channel
ACIAD_RS03430,ACIAD0749,,hypothetical protein,hypothetical protein,,hypothetical,hypothetical,missing,hypothetical,None available,
ACIAD_RS03425,ACIAD0748,,hypothetical protein,DUF302 domain-containing protein,,hypothetical,hypothetical,missing,hypothetical,None available,
ACIAD_RS03420,,,Ferredoxin--NADP(+) reductase (EC 1.18.1.2);Flavodoxin--NADP(+) reductase (EC 1.19.1.1),ferredoxin--NADP(+) reductase,Predicted FAD/NAD(P)-binding ferredoxin/flavodoxin–NADP(H) reductase (FNR/Fpr family) that transfers electrons from NADPH to ferredoxin/flavodoxin to support cellular redox metabolism and stress responses.,specific,specific,specific,enzyme,RAST,Ferredoxin--NADP(+) reductase (EC 1.18.1.2);Flavodoxin--NADP(+) reductase (EC 1.19.1.1)
ACIAD_RS03415,,gigC,"Transcriptional regulator, LysR family",LysR family transcriptional regulator GigC,"LysR-family transcriptional regulator likely controlling expression of the achromobactin (citrate-type) siderophore biosynthesis/uptake gene cluster, contributing to fitness during plant-associated growth conditions.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, LysR family"
ACIAD_RS03410,ACIAD0745,,Ferrichrome-iron receptor,Putative ferric siderophore receptor protein,TonB-dependent outer membrane receptor (plug + beta-barrel) likely mediating uptake of a siderophore-bound nutrient (iron acquisition) in Gram-negative bacteria.,specific,specific,specific,other_specific,RAST,Ferrichrome-iron receptor
ACIAD_RS03405,ACIAD0744,upp,Uracil phosphoribosyltransferase (EC 2.4.2.9),uracil phosphoribosyltransferase,"Uracil phosphoribosyltransferase (Upp) that salvages pyrimidines by converting uracil + PRPP to UMP, supporting nucleotide recycling required for optimal growth and stress fitness across diverse nutrient and antimicrobial/oxidative conditions.",specific,specific,specific,enzyme,RAST,Uracil phosphoribosyltransferase (EC 2.4.2.9)
ACIAD_RS03400,ACIAD0743,nuoN,NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3),NADH-quinone oxidoreductase subunit NuoN,Required for de novo histidine biosynthesis (likely histidinol dehydrogenase HisD in the his operon).,specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)
ACIAD_RS03395,ACIAD0742,nuoM,NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3),NADH-quinone oxidoreductase subunit M,"Membrane antiporter-like subunit (NuoM/ND4) of respiratory complex I (NADH:quinone oxidoreductase), contributing to quinone reduction–coupled proton translocation across the cytoplasmic membrane.",specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)
ACIAD_RS03390,,nuoL,NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3),NADH-quinone oxidoreductase subunit L,"Antiporter-like membrane subunit of respiratory NADH:quinone oxidoreductase (complex I) (ND5/NuoL-like), a multi-pass transmembrane component of the membrane arm required for proton translocation during NADH-dependent quinone reduction.",specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)
ACIAD_RS03385,ACIAD0740,nuoK,NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3),NADH-quinone oxidoreductase subunit NuoK,"Small hydrophobic membrane subunit (NuoK/ND4L; NADH-ubiquinone oxidoreductase chain 4L) of respiratory complex I, contributing to electron transport and membrane energization; loss of the gene alters fitness under multiple antibiotic and oxidative/envelope stress conditions.",specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)
ACIAD_RS03380,ACIAD0739,nuoJ,NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3),NADH-quinone oxidoreductase subunit J,"Membrane subunit NuoJ (ND6) of respiratory NADH dehydrogenase I (Complex I), a small hydrophobic component of the NADH:quinone oxidoreductase involved in aerobic electron transport.",specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)
ACIAD_RS03375,ACIAD0738,nuoI,NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3),NADH-quinone oxidoreductase subunit NuoI,"Iron-sulfur ferredoxin subunit (NuoI/Nqo9; chain I) of respiratory complex I (NADH:quinone oxidoreductase), binding 4Fe-4S cluster(s) to mediate electron transfer to the quinone-reducing module.",specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)
ACIAD_RS03370,ACIAD0737,nuoH,NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3),NADH-quinone oxidoreductase subunit NuoH,"Membrane subunit NuoH (ND1/NADH dehydrogenase I subunit 1) of the proton-translocating NADH:quinone oxidoreductase (respiratory complex I), involved in NADH-to-quinone electron transfer and energy conservation; disruption shows condition-dependent fitness effects during growth on multiple carbon sources.",specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)
ACIAD_RS03365,ACIAD0736,nuoG,NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3),NADH-quinone oxidoreductase subunit NuoG,"Functions as fumarylacetoacetate hydrolase (HmgB), a key enzyme in phenylalanine/tyrosine (homogentisate) catabolism that hydrolyzes fumarylacetoacetate to fumarate and acetoacetate.",specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)
ACIAD_RS03360,ACIAD0735,nuoF,NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3),NADH-quinone oxidoreductase subunit NuoF,"Flavin/Fe-S NADH dehydrogenase (NuoF/51 kDa subunit) of respiratory complex I that oxidizes NADH and transfers electrons to the quinone-reducing module, supporting proton-motive-force-dependent growth and stress tolerance.",specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)
ACIAD_RS03355,ACIAD0734,nuoE,NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3),NADH-quinone oxidoreductase subunit NuoE,"NADH-quinone oxidoreductase (complex I) subunit E (NuoE), a small peripheral-arm electron-transfer subunit with a thioredoxin-like NuoE domain (likely 2Fe-2S ferredoxin).",specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)
ACIAD_RS03350,,nuoC,NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3);NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3),NADH-quinone oxidoreductase subunit C/D,"Phosphoenolpyruvate-protein phosphotransferase of the nitrogen-related PTS regulatory system (PtsP/EI-like), influencing global carbon/nitrogen utilization and stress fitness.",specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3);NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)
ACIAD_RS03345,ACIAD0731,nuoB,NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3),NADH-quinone oxidoreductase subunit B,"NADH dehydrogenase I (respiratory complex I) 20 kDa/PSST iron–sulfur subunit (NuoB), involved in electron transfer from NADH to quinone and generation of proton motive force for aerobic energy metabolism.",specific,specific,specific,enzyme,RAST,NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)
ACIAD_RS03340,ACIAD0730,ndhC,NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3),NADH-quinone oxidoreductase subunit A,"Membrane subunit of NADH:ubiquinone oxidoreductase (respiratory complex I; ND3/NuoK-like) that contributes to electron transport–coupled generation of proton motive force, impacting motility and susceptibility to membrane-active antibiotics/stresses.",specific,specific,specific,enzyme,RAST,NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)
ACIAD_RS03335,,,hypothetical protein,hypothetical protein,,hypothetical,hypothetical,missing,hypothetical,None available,
ACIAD_RS03330,ACIAD0727,bfmS,Two-component system sensor histidine kinase,sensor histidine kinase BfmS,Two-component system sensor histidine kinase (HAMP–HisKA–HATPase_c) likely regulating metabolic and stress-response pathways; disruption alters fitness during growth on multiple carbon/nitrogen sources and under antibiotic/chemical stresses.,specific,specific,specific,enzyme,RAST,Two-component system sensor histidine kinase
ACIAD_RS03325,ACIAD0726,bfmR,"Two-component transcriptional response regulator, OmpR family",response regulator transcription factor BfmR,OmpR/PhoB-family two-component response regulator (WalR-like) with N-terminal CheY-like receiver and C-terminal winged-helix DNA-binding domain; likely regulates transcription in response to phosphorylation by a cognate sensor kinase.,specific,specific,specific,regulator,RAST,"Two-component transcriptional response regulator, OmpR family"
ACIAD_RS03320,,,"Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)",ribonucleoside-diphosphate reductase subunit alpha,"Catalytic alpha (R1) subunit of class I ribonucleotide reductase (NrdA), reducing ribonucleoside diphosphates to deoxyribonucleotides for DNA synthesis; contains an N-terminal ATP-cone allosteric regulatory domain.",specific,specific,specific,enzyme,RAST,"Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)"
ACIAD_RS16725,,yajC,preprotein translocase subunit YajC,Preprotein translocase subunit YajC,Putative YbeZ-family P-loop NTPase that functions with the rRNA maturation endoribonuclease YbeY in ribosome biogenesis/16S rRNA processing and is important for growth across diverse conditions.,specific,specific,specific,other_specific,RAST,preprotein translocase subunit YajC
ACIAD_RS03315,,,"Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)",ribonucleotide-diphosphate reductase subunit beta,Ribonucleotide reductase small subunit (class I; NrdB/NrdF family) required for deoxyribonucleotide biosynthesis and optimal growth across diverse conditions.,specific,specific,specific,enzyme,RAST,"Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)"
ACIAD_RS03310,,,UPF0339 protein YegP.N;UPF0339 protein YegP.C,UPF0339 protein ACIAD0721,"UPF0339/DUF1508 (YegP-like) conserved bacterial protein implicated in oxidative/metal stress tolerance, as mutants show strong fitness defects under paraquat (superoxide generator) and other stresses (e.g., Ni2+) and the gene is frequently found near metal-uptake genes (ZIP/Fur/iron receptors).",specific,specific,specific,other_specific,RAST,UPF0339 protein YegP.N;UPF0339 protein YegP.C
ACIAD_RS03305,ACIAD0720,,MutT/Nudix family protein,NUDIX domain-containing protein,"Predicted Nudix family hydrolase (NDP‑X pyrophosphatase), likely a housekeeping enzyme that hydrolyzes nucleotide diphosphate–linked metabolites to prevent accumulation of aberrant/toxic nucleotides.",specific,specific,specific,other_specific,RAST,MutT/Nudix family protein
ACIAD_RS03300,ACIAD0719,,Protein PhnA,Alkylphosphonate utilization protein,,specific,specific,missing,other_specific,RAST,Protein PhnA
ACIAD_RS03295,ACIAD0718,,DUF2939 domain-containing protein,DUF2939 domain-containing protein,"Putative accessory protein (DUF2939) involved in fatty-acid/dicarboxylate catabolism, contributing to β-oxidation-dependent growth on medium-chain dicarboxylic acids (e.g., pimelate/adipate/sebacate).",hypothetical,hypothetical,specific,other_specific,Agent,"Putative accessory protein (DUF2939) involved in fatty-acid/dicarboxylate catabolism, contributing to β-oxidation-dependent growth on medium-chain dicarboxylic acids (e.g., pimelate/adipate/sebacate)."
ACIAD_RS03290,ACIAD0717,,Ligand-binding SRPBCC domain protein family,Activator of Hsp90 ATPase-like ue 1/2-like C-terminal domain-containing protein,"Predicted Aha1-like co-chaperone that binds bacterial Hsp90 (HtpG) and stimulates its ATPase activity, implicating this protein in protein-folding/stress response; mutants of homologs show altered fitness in oxidative/chemical stress conditions (e.g., paraquat, cisplatin, polymyxin, DMSO).",specific,specific,specific,other_specific,RAST,Ligand-binding SRPBCC domain protein family
